;Year;Month;Day;Name;Location;Country;Latitude;Longitude;Elevation;Type;VEI;Deaths
"63;1375;;;""Chichon; El"";Mexico;Mexico;17.36;-93.228;1150;Tuff cone;5;"
64;1376;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;3;
65;1385;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;3;
66;1389;12;1;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;3;
67;1410;3;5;Nasu;Honshu-Japan;Japan;37.12;139.97;1917;Stratovolcano;3;180
68;1430;;;Kuwae;Vanuatu-SW Pacific;Vanuatu;-16.829;168.536;-2;Caldera;;
69;1471;11;3;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;5;
70;1477;2;;Bardarbunga;Iceland-NE;Iceland;64.63;-17.53;2000;Stratovolcano;6;
71;1485;1;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;2;1
72;1500;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;4;
73;1510;7;25;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;4;1
74;1510;10;15;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;4;
75;1536;3;23;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;3;1
76;1538;9;29;Campi Flegrei;Italy;Italy;40.827;14.139;458;Caldera;3;24
77;1540;;;Augustine;Alaska-SW;United States;59.37;-153.42;1252;Lava dome;4;
78;1550;11;;Dukono;Halmahera-Indonesia;Indonesia;1.68;127.88;1185;Complex volcano;3;
79;1564;12;31;Gamkonora;Halmahera-Indonesia;Indonesia;1.375;127.52;1635;Stratovolcano;3;
80;1565;8;;Pacaya;Guatemala;Guatemala;14.381;-90.601;2552;Complex volcano;3;
81;1566;10;31;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield volcano;3;
82;1568;;;Savo;Solomon Is-SW Pacifi;Solomon Is.;-9.13;159.82;510;Stratovolcano;3;1001
83;1570;;;Mombacho;Nicaragua;Nicaragua;11.826;-85.968;1344;Stratovolcano;;400
84;1576;;;Colima;Mexico;Mexico;19.514;-103.62;3850;Stratovolcano;3;
85;1580;5;1;San Jorge;Azores;Portugal;38.65;-28.08;1053;Fissure vent;3;10
86;1580;8;11;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;4;
87;1580;;;Billy Mitchell;Bougainville-SW Paci;Papua New Guinea;-6.092;155.225;1544;Pyroclastic shield;6;
88;1581;12;26;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;4;
89;1586;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;5;10000
90;1587;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;4;
91;1590;1;15;Colima;Mexico;Mexico;19.514;-103.62;3850;Stratovolcano;3;
92;1593;;;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;5;
93;1595;3;12;Ruiz;Colombia;Colombia;4.895;-75.322;5321;Stratovolcano;4;636
94;1596;5;1;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;2;
95;1597;1;3;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;4;
96;1597;;;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;3;
97;1598;5;13;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;2;800
98;1598;;;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;3;
99;1600;2;19;Huaynaputina;Peru;Peru;-16.608;-70.85;4850;Stratovolcano;6;1500
100;1606;1;23;Hachijo-jima;Izu Is-Japan;Japan;33.13;139.77;854;Stratovolcano;2;
101;1608;7;18;Gamalama;Halmahera-Indonesia;Indonesia;.8;127.325;1715;Stratovolcano;3;
102;1609;;;Tengchong;China-S;China;25.32;98.47;2865;Pyroclastic cone;;
103;1615;3;;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;3;
104;1617;;;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;3;
105;1625;9;2;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;5;
106;1629;;;Grimsvotn;Iceland-NE;Iceland;64.42;-17.33;1725;Caldera;2;4
107;1630;9;3;Furnas;Azores;Portugal;37.77;-25.32;805;Stratovolcano;4;200
108;1631;2;14;Dama Ali;Africa-NE;Ethiopia;11.28;41.63;1068;Shield volcano;;50
109;1631;12;16;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;5;4000
110;1636;5;15;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;3;
111;1638;;;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;4;1001
112;1640;7;31;Komaga-take;Hokkaido-Japan;Japan;42.07;140.68;1140;Stratovolcano;5;
113;1640;;;Tungurahua;Ecuador;Ecuador;-1.467;-78.442;5023;Stratovolcano;3;5000
114;1646;7;19;Makian;Halmahera-Indonesia;Indonesia;.32;127.4;1357;Stratovolcano;4;
115;1650;9;26;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;4;120
116;1659;9;30;San Salvador;El Salvador;El Salvador;13.736;-89.286;1893;Stratovolcano;3;
117;1659;11;11;Teon;Banda Sea;Pacific Ocean;-6.92;129.125;655;Stratovolcano;4;
118;1660;2;;Teon;Banda Sea;Pacific Ocean;-6.92;129.125;655;Stratovolcano;4;3
119;1660;11;3;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;4;
120;1660;;;Long Island;New Guinea-NE of;Papua New Guinea;-5.358;147.12;1280;Complex volcano;6;2000
121;1663;8;16;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;5;5
122;1664;4;15;Unzen;Kyushu-Japan;Japan;32.75;130.3;1500;Complex volcano;2;30
123;1664;;;Iwo-Tori-shima;Ryukyu Is;Japan;27.85;128.25;217;Complex volcano;;1
124;1669;3;11;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;3;
125;1669;3;19;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;3;2
126;1670;;;Aoba;Vanuatu-SW Pacific;Vanuatu;-15.4;167.83;1496;Shield volcano;2;
127;1672;4;24;Fayal;Azores;Portugal;38.6;-28.73;1043;Stratovolcano;2;3
128;1672;8;4;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;3;3000
129;1673;5;20;Gamkonora;Halmahera-Indonesia;Indonesia;1.375;127.52;1635;Stratovolcano;5;
130;1677;11;22;La Palma;Canary Is;Spain;28.58;-17.83;2426;Stratovolcano;2;1
131;1679;9;21;Zukur;Red Sea;Yemen;14.02;42.75;624;Shield volcano;;
132;1682;8;12;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;3;4
133;1684;12;;Grimsvotn;Iceland-NE;Iceland;64.42;-17.33;1725;Caldera;2;1
134;1690;2;3;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;;
135;1690;;;Guntur;Java;Indonesia;-7.13;107.83;2249;Complex volcano;3;
136;1692;6;4;Serua;Banda Sea;Pacific Ocean;-6.3;130;641;Stratovolcano;4;
137;1693;1;9;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;;
138;1693;2;13;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;4;
139;1694;11;20;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;3;
140;1698;5;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;3;
141;1698;;;Cereme;Java;Indonesia;-6.892;108.4;3078;Stratovolcano;3;
142;1698;;;Cotopaxi;Ecuador;Ecuador;-.677;-78.436;5911;Stratovolcano;3;
143;1706;5;5;Tenerife;Canary Is;Spain;28.271;-16.641;3715;Stratovolcano;2;
144;1707;5;;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;;
145;1707;12;16;Fuji;Honshu-Japan;Japan;35.35;138.73;3776;Stratovolcano;4;
146;1711;12;11;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;3;3000
147;1712;1;15;Bardarbunga;Iceland-NE;Iceland;64.63;-17.53;2000;Stratovolcano;2;
148;1714;6;30;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;;
149;1716;7;20;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;2;
150;1716;9;24;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;4;
151;1716;10;5;Bardarbunga;Iceland-NE;Iceland;64.63;-17.53;2000;Stratovolcano;2;
152;1716;11;9;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield volcano;3;1
153;1717;2;7;Kirishima;Kyushu-Japan;Japan;31.93;130.87;1700;Shield volcano;3;1
154;1717;8;4;Bardarbunga;Iceland-NE;Iceland;64.63;-17.53;2000;Stratovolcano;3;
155;1717;8;27;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;3;
156;1718;2;1;Pico;Azores;Portugal;38.47;-28.4;2351;Stratovolcano;2;2
157;1721;5;11;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;5;
158;1721;6;22;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;1;15
159;1726;2;1;Bardarbunga;Iceland-NE;Iceland;64.63;-17.53;2000;Stratovolcano;1;
160;1727;8;3;Oraefajokull;Iceland-SE;Iceland;64;-16.65;2119;Stratovolcano;4;3
161;1729;2;1;Bardarbunga;Iceland-NE;Iceland;64.63;-17.53;2000;Stratovolcano;1;
162;1729;6;30;Krafla;Iceland-NE;Iceland;65.73;-16.78;650;Caldera;2;
163;1730;9;1;Lanzarote;Canary Is;Spain;29.03;-13.63;670;Fissure vent;2;
164;1730;;;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;3;
165;1730;;;Tseax River Cone;Canada;Canada;55.12;-128.9;609;Pyroclastic cone;;
166;1737;5;20;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;2;2
167;1741;8;23;Oshima-Oshima;Hokkaido-Japan;Japan;41.5;139.37;737;Stratovolcano;4;
168;1742;6;15;Cotopaxi;Ecuador;Ecuador;-.677;-78.436;5911;Stratovolcano;3;
169;1742;12;9;Cotopaxi;Ecuador;Ecuador;-.677;-78.436;5911;Stratovolcano;3;
170;1749;8;11;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;3;
171;1753;10;15;Grimsvotn;Iceland-NE;Iceland;64.42;-17.33;1725;Caldera;2;
172;1754;5;13;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;4;12
173;1755;10;17;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;4;2
174;1757;7;9;San Jorge;Azores;Portugal;38.65;-28.08;1053;Fissure vent;0;
175;1760;;;Makian;Halmahera-Indonesia;Indonesia;.32;127.4;1357;Stratovolcano;4;2000
176;1762;;;Kliuchevskoi;Kamchatka;Russia;56.057;160.638;4835;Stratovolcano;2;
177;1766;4;5;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;4;
178;1766;7;20;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;3;49
179;1768;4;4;Cotopaxi;Ecuador;Ecuador;-.677;-78.436;5911;Stratovolcano;4;
180;1772;5;9;Gamalama;Halmahera-Indonesia;Indonesia;.8;127.325;1715;Stratovolcano;3;35
181;1772;8;12;Papandayan;Java;Indonesia;-7.32;107.73;2665;Stratovolcano;3;2957
182;1773;2;2;Gamalama;Halmahera-Indonesia;Indonesia;.8;127.325;1715;Stratovolcano;2;
183;1775;;;Gamalama;Halmahera-Indonesia;Indonesia;.8;127.325;1715;Stratovolcano;3;1300
184;1775;;;Lokon-Empung;Sulawesi-Indonesia;Indonesia;1.358;124.792;1580;Stratovolcano;3;
185;1778;;;Raikoke;Kuril Is;Russia;48.292;153.25;551;Stratovolcano;4;15
186;1779;8;8;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;2;
187;1779;11;8;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;4;153
188;1780;2;9;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;4;
189;1780;7;27;Aoga-shima;Izu Is-Japan;Japan;32.45;139.77;423;Stratovolcano;3;7
190;1780;9;9;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;4;
191;1780;10;31;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;;
192;1781;4;11;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;4;23
193;1783;8;5;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;4;1491
194;1784;4;;Grimsvotn;Iceland-NE;Iceland;64.42;-17.33;1725;Caldera;4;
195;1784;7;;Sabancaya;Peru;Peru;-15.78;-71.85;5967;Stratovolcano;;
196;1784;;;Hualalai;Hawaiian Is;United States;19.692;-155.87;2523;Shield volcano;0;
197;1785;4;18;Aoga-shima;Izu Is-Japan;Japan;32.45;139.77;423;Stratovolcano;3;135
198;1786;;;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;2;38
199;1789;;;Oshima;Izu Is-Japan;Japan;34.73;139.38;758;Stratovolcano;2;
200;1790;11;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;4;5405
201;1792;5;21;Unzen;Kyushu-Japan;Japan;32.75;130.3;1500;Complex volcano;2;
202;1794;6;15;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;3;400
203;1800;6;24;San Jorge;Azores;Portugal;38.65;-28.08;1053;Fissure vent;1;9
204;1800;10;8;Guntur;Java;Indonesia;-7.13;107.83;2249;Complex volcano;;
205;1800;10;30;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;2;
206;1800;;;Kieyo;Africa-E;Tanzania;-9.23;33.78;2175;Stratovolcano;2;
207;1800;;;St. Helens;US-Washington;United States;46.2;-122.18;2549;Stratovolcano;5;
208;1800;;;Hualalai;Hawaiian Is;United States;19.692;-155.87;2523;Shield volcano;0;2
209;1801;7;;Chokai;Honshu-Japan;Japan;39.08;140.03;2237;Stratovolcano;2;8
210;1803;7;4;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;2;
211;1803;11;7;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;2;
212;1804;;;Shikotsu;Hokkaido-Japan;Japan;42.7;141.33;1320;Caldera;3;
213;1805;8;11;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;2;4
214;1812;4;27;Soufriere St. Vincent;W Indies;St. Vincent & the Grenadines;13.33;-61.18;1220;Stratovolcano;4;56
215;1812;8;6;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;3;953
216;1813;5;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;2;
217;1814;2;1;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;4;1200
218;1815;4;10;Tambora;Lesser Sunda Is;Indonesia;-8.25;118;2850;Stratovolcano;7;11000
219;1816;7;5;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;2;1
220;1817;1;24;Ijen;Java;Indonesia;-8.058;114.242;2799;Stratovolcano;2;
221;1817;;;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;4;
222;1818;2;5;Colima;Mexico;Mexico;19.514;-103.62;3850;Stratovolcano;4;
223;1819;;;Asuncion;Mariana Is-C Pacific;United States;19.67;145.4;857;Stratovolcano;;
224;1820;3;1;Westdahl;Aleutian Is;United States;54.52;-164.65;1654;Stratovolcano;2;
225;1820;6;11;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;2;
226;1822;3;9;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;4;50
227;1822;10;8;Galunggung;Java;Indonesia;-7.25;108.05;2168;Stratovolcano;5;4011
228;1822;12;27;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;3;100
229;1823;2;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;0;
230;1824;;;Shishaldin;Aleutian Is;United States;54.75;-163.97;2857;Stratovolcano;3;
231;1825;;;Balbi;Bougainville-SW Paci;Papua New Guinea;-5.83;154.98;2715;Stratovolcano;;
232;1826;10;11;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;3;
233;1826;10;11;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;2;
234;1826;10;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;2;
235;1827;6;27;Avachinsky;Kamchatka;Russia;53.255;158.83;2741;Stratovolcano;2;
236;1827;8;9;Avachinsky;Kamchatka;Russia;53.255;158.83;2741;Stratovolcano;2;
237;1829;;;Guntur;Java;Indonesia;-7.13;107.83;2249;Complex volcano;2;
238;1832;11;1;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;2;
239;1832;12;25;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;3;32
240;1833;11;24;Kaba;Sumatra;Indonesia;-3.52;102.62;1952;Stratovolcano;2;126
241;1835;1;20;Cosiguina;Nicaragua;Nicaragua;12.98;-87.57;872;Stratovolcano;5;
242;1835;11;1;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;;
243;1837;9;;Peuet Sague;Sumatra;Indonesia;4.914;96.329;2801;Complex volcano;;
244;1838;2;26;Gamalama;Halmahera-Indonesia;Indonesia;.8;127.325;1715;Stratovolcano;2;4
245;1839;2;12;Unnamed;Chile-Is;Chile;-33.62;-76.83;-642;Submarine volcano;2;
246;1840;2;2;Gamalama;Halmahera-Indonesia;Indonesia;.8;127.325;1715;Stratovolcano;2;
247;1840;5;30;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;0;
248;1840;7;2;Ararat;Turkey;Turkey;39.7;44.28;5165;Stratovolcano;3;1900
249;1840;;;Savo;Solomon Is-SW Pacifi;Solomon Is.;-9.13;159.82;510;Stratovolcano;3;
250;1840;;;Tinakula;Santa Cruz Is-SW Pac;Solomon Is.;-10.38;165.8;851;Stratovolcano;3;
251;1841;4;;Kuchinoerabu-jima;Ryukyu Is;Japan;30.43;130.22;649;Stratovolcano;2;
252;1843;2;8;Liamuiga;W Indies;St. Kitts & Nevis;17.37;-62.8;1156;Stratovolcano;0;
253;1843;2;17;Soufriere Guadeloupe;W Indies;Guadeloupe;16.05;-61.67;1467;Stratovolcano;;
254;1843;8;;Lamongan;Java;Indonesia;-8;113.342;1651;Stratovolcano;2;4
255;1843;11;17;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;2;56
256;1845;2;8;Soputan;Sulawesi-Indonesia;Indonesia;1.108;124.725;1784;Stratovolcano;2;
257;1845;2;19;Ruiz;Colombia;Colombia;4.895;-75.322;5321;Stratovolcano;3;1000
258;1845;9;2;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;4;
259;1846;5;7;Taupo;New Zealand;New Zealand;-38.82;176;760;Caldera;;63
260;1846;5;27;Tangkubanparahu;Java;Indonesia;-6.77;107.6;2084;Stratovolcano;2;
261;1846;11;18;E-san;Hokkaido-Japan;Japan;41.8;141.17;618;Stratovolcano;1;
262;1847;4;9;Fogo;Cape Verde Is;Cape Verde;14.95;-24.35;2829;Stratovolcano;2;
263;1847;12;4;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;2;
264;1848;5;16;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;2;21
265;1850;;;Rabaul;New Britain-SW Pac;Papua New Guinea;-4.271;152.203;688;Pyroclastic shield;2;
266;1853;6;24;Niuafo'ou;Tonga-SW Pacific;Tonga;-15.6;-175.63;260;Shield volcano;0;25
267;1853;7;13;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;3;34
268;1853;10;29;Unnamed;Taiwan-E of;Taiwan;24;121.83;0;Submarine volcano;2;
269;1854;2;18;Shiveluch;Kamchatka;Russia;56.653;161.36;3283;Stratovolcano;5;
270;1854;2;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;2;3
271;1854;6;27;Alaid;Kuril Is;Russia;50.858;155.55;2339;Stratovolcano;3;
272;1856;3;2;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;3;2806
273;1856;7;26;Shishaldin;Aleutian Is;United States;54.75;-163.97;2857;Stratovolcano;;
274;1856;9;25;Komaga-take;Hokkaido-Japan;Japan;42.07;140.68;1140;Stratovolcano;4;20
275;1857;4;17;Umboi;New Guinea-NE of;Papua New Guinea;-5.589;147.875;1548;Complex volcano;;
276;1858;1;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;2;
277;1858;4;23;Tate-yama;Honshu-Japan;Japan;36.57;137.6;2621;Stratovolcano;;
278;1858;7;3;Tate-yama;Honshu-Japan;Japan;36.57;137.6;2621;Stratovolcano;;
279;1860;4;;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;2;
280;1860;8;18;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;2;
281;1860;;;Grimsvotn;Iceland-NE;Iceland;64.42;-17.33;1725;Caldera;;1
282;1861;5;7;Dubbi;Africa-NE;Eritrea;13.58;41.808;1625;Stratovolcano;3;106
283;1861;5;;Grimsvotn;Iceland-NE;Iceland;64.42;-17.33;1725;Caldera;2;
284;1861;12;29;Makian;Halmahera-Indonesia;Indonesia;.32;127.4;1357;Stratovolcano;4;326
